,name,salary_from,salary_to,salary_currency,area_name,published_at
2095,Младший разработчик,None,None,,Москва,2022-12-01T13:12:24+0300
2096,QA Lead команды ручного тестирования,None,None,,Санкт-Петербург,2022-12-01T16:18:14+0300
2097,Токарь-полуавтоматчик,35000,50000,RUR,Самара,2022-12-01T15:53:20+0300
2098,Тестировщик web-приложений,None,None,,Екатеринбург,2022-12-01T12:14:32+0300
2099,Fullstack web-разработчик стажер/junior,40000,60000,RUR,Санкт-Петербург,2022-12-01T15:46:00+0300
2100,"QA Automation Engineer Junior (Java/ Selenium), Remote work",None,None,,Батуми,2022-12-01T17:16:24+0300
2101,Младший инженер по тестированию,50000,None,RUR,Москва,2022-12-01T17:14:37+0300
2102,Junior IOS разработчик,None,None,,Москва,2022-12-01T16:29:47+0300
2103,Младший аналитик,None,None,,Москва,2022-12-01T13:12:25+0300
2104,Ночной удаленный ассистент,50000,None,RUR,Москва,2022-12-01T13:07:49+0300
2105,Оператор станков с ПУ (ученик),45000,80000,RUR,Киров (Кировская область),2022-12-01T15:31:49+0300
2106,IT специалист,2500000,4000000,UZS,Ташкент,2022-12-01T14:58:14+0300
2107,Графический дизайнер (Стажёр),None,9800,RUR,Санкт-Петербург,2022-12-01T15:22:18+0300
2108,Front-end разработчик,35000,None,RUR,Киров (Кировская область),2022-12-01T16:24:30+0300
2109,Менеджер проектов (дочерняя компания),None,None,,Москва,2022-12-01T15:27:26+0300
2110,Тестировщик ПО / QA Engineer,50000,None,RUR,Москва,2022-12-01T16:17:14+0300
2111,Шлифовщик,None,75000,RUR,Самара,2022-12-01T15:53:36+0300
2112,Начальник транспортного отдела,100000,250000,RUR,Москва,2022-12-01T15:21:38+0300
